date,open,high,low,close
2002-01-31,0.8594,0.8594,0.8594,0.8594
2002-02-28,0.8694,0.8694,0.8694,0.8694
2002-03-31,0.8717,0.8717,0.8717,0.8717
2002-04-30,0.9005,0.9005,0.9005,0.9005
2002-05-31,0.9342,0.9342,0.9342,0.9342
2002-06-30,0.9915,0.9915,0.9915,0.9915
2002-07-31,0.9776,0.9776,0.9776,0.9776
2002-08-31,0.9823,0.9823,0.9823,0.9823
2002-09-30,0.9866,0.9866,0.9866,0.9866
2002-10-31,0.9903,0.9903,0.9903,0.9903
2002-11-30,0.9943,0.9943,0.9943,0.9943
2002-12-31,1.0492,1.0492,1.0492,1.0492
2003-01-31,1.0768,1.0768,1.0768,1.0768
2003-02-28,1.0807,1.0807,1.0807,1.0807
2003-03-31,1.0915,1.0915,1.0915,1.0915
2003-04-30,1.1184,1.1184,1.1184,1.1184
2003-05-31,1.1784,1.1784,1.1784,1.1784
2003-06-30,1.1512,1.1512,1.1512,1.1512
2003-07-31,1.1232,1.1232,1.1232,1.1232
2003-08-31,1.0984,1.0984,1.0984,1.0984
2003-09-30,1.1657,1.1657,1.1657,1.1657
2003-10-31,1.1593,1.1593,1.1593,1.1593
2003-11-30,1.1996,1.1996,1.1996,1.1996
2003-12-31,1.2595,1.2595,1.2595,1.2595
2004-01-31,1.2478,1.2478,1.2478,1.2478
2004-02-29,1.2493,1.2493,1.2493,1.2493
2004-03-31,1.2316,1.2316,1.2316,1.2316
2004-04-30,1.198,1.198,1.198,1.198
2004-05-31,1.2188,1.2188,1.2188,1.2188
2004-06-30,1.22,1.22,1.22,1.22
2004-07-31,1.2019,1.2019,1.2019,1.2019
2004-08-31,1.2183,1.2183,1.2183,1.2183
2004-09-30,1.2436,1.2436,1.2436,1.2436
2004-10-31,1.2798,1.2798,1.2798,1.2798
2004-11-30,1.3279,1.3279,1.3279,1.3279
2004-12-31,1.3554,1.3554,1.3554,1.3554
2005-01-31,1.3039,1.3039,1.3039,1.3039
2005-02-28,1.3228,1.3228,1.3228,1.3228
2005-03-31,1.2964,1.2964,1.2964,1.2964
2005-04-30,1.2873,1.2873,1.2873,1.2873
2005-05-31,1.2304,1.2304,1.2304,1.2304
2005-06-30,1.2108,1.2108,1.2108,1.2108
2005-07-31,1.2123,1.2123,1.2123,1.2123
2005-08-31,1.2346,1.2346,1.2346,1.2346
2005-09-30,1.2026,1.2026,1.2026,1.2026
2005-10-31,1.1992,1.1992,1.1992,1.1992
2005-11-30,1.1788,1.1788,1.1788,1.1788
2005-12-31,1.1849,1.1849,1.1849,1.1849
2006-01-31,1.2156,1.2156,1.2156,1.2156
2006-02-28,1.1921,1.1921,1.1921,1.1921
2006-03-31,1.2118,1.2118,1.2118,1.2118
2006-04-30,1.2635,1.2635,1.2635,1.2635
2006-05-31,1.281,1.281,1.281,1.281
2006-06-30,1.2791,1.2791,1.2791,1.2791
2006-07-31,1.2767,1.2767,1.2767,1.2767
2006-08-31,1.2813,1.2813,1.2813,1.2813
2006-09-30,1.2674,1.2674,1.2674,1.2674
2006-10-31,1.2762,1.2762,1.2762,1.2762
2006-11-30,1.3242,1.3242,1.3242,1.3242
2006-12-31,1.3197,1.3197,1.3197,1.3197
2007-01-31,1.3032,1.3032,1.3032,1.3032
2007-02-28,1.3229,1.3229,1.3229,1.3229
2007-03-31,1.3354,1.3354,1.3354,1.3354
2007-04-30,1.3648,1.3648,1.3648,1.3648
2007-05-31,1.3453,1.3453,1.3453,1.3453
2007-06-30,1.3541,1.3541,1.3541,1.3541
2007-07-31,1.3684,1.3684,1.3684,1.3684
2007-08-31,1.363,1.363,1.363,1.363
2007-09-30,1.4267,1.4267,1.4267,1.4267
2007-10-31,1.4487,1.4487,1.4487,1.4487
2007-11-30,1.4633,1.4633,1.4633,1.4633
2007-12-31,1.4589,1.4589,1.4589,1.4589
2008-01-31,1.4861,1.4861,1.4861,1.4861
2008-02-29,1.5179,1.5179,1.5179,1.5179
2008-03-31,1.5788,1.5788,1.5788,1.5788
2008-04-30,1.5622,1.5622,1.5622,1.5622
2008-05-31,1.5554,1.5554,1.5554,1.5554
2008-06-30,1.5755,1.5755,1.5755,1.5755
2008-07-31,1.5603,1.5603,1.5603,1.5603
2008-08-31,1.4673,1.4673,1.4673,1.4673
2008-09-30,1.4092,1.4092,1.4092,1.4092
2008-10-31,1.2726,1.2726,1.2726,1.2726
2008-11-30,1.2691,1.2691,1.2691,1.2691
2008-12-31,1.3971,1.3971,1.3971,1.3971
2009-01-31,1.2813,1.2813,1.2813,1.2813
2009-02-28,1.2669,1.2669,1.2669,1.2669
2009-03-31,1.325,1.325,1.325,1.325
2009-04-30,1.323,1.323,1.323,1.323
2009-05-31,1.4158,1.4158,1.4158,1.4158
2009-06-30,1.4033,1.4033,1.4033,1.4033
2009-07-31,1.4257,1.4257,1.4257,1.4257
2009-08-31,1.4334,1.4334,1.4334,1.4334
2009-09-30,1.464,1.464,1.464,1.464
2009-10-31,1.4719,1.4719,1.4719,1.4719
2009-11-30,1.5005,1.5005,1.5005,1.5005
2009-12-31,1.4321,1.4321,1.4321,1.4321
2010-01-31,1.3863,1.3863,1.3863,1.3863
2010-02-28,1.3631,1.3631,1.3631,1.3631
2010-03-31,1.351,1.351,1.351,1.351
2010-04-30,1.3294,1.3294,1.3294,1.3294
2010-05-31,1.2306,1.2306,1.2306,1.2306
2010-06-30,1.2238,1.2238,1.2238,1.2238
2010-07-31,1.3052,1.3052,1.3052,1.3052
2010-08-31,1.268,1.268,1.268,1.268
2010-09-30,1.3634,1.3634,1.3634,1.3634
2010-10-31,1.3947,1.3947,1.3947,1.3947
2010-11-30,1.2983,1.2983,1.2983,1.2983
2010-12-31,1.3384,1.3384,1.3384,1.3384
2011-01-31,1.3694,1.3694,1.3694,1.3694
2011-02-28,1.3806,1.3806,1.3806,1.3806
2011-03-31,1.4158,1.4158,1.4158,1.4158
2011-04-30,1.4807,1.4807,1.4807,1.4807
2011-05-31,1.4396,1.4396,1.4396,1.4396
2011-06-30,1.4502,1.4502,1.4502,1.4502
2011-07-31,1.4398,1.4398,1.4398,1.4398
2011-08-31,1.4369,1.4369,1.4369,1.4369
2011-09-30,1.3387,1.3387,1.3387,1.3387
2011-10-31,1.3858,1.3858,1.3858,1.3858
2011-11-30,1.3446,1.3446,1.3446,1.3446
2011-12-31,1.2961,1.2961,1.2961,1.2961
2012-01-31,1.3084,1.3084,1.3084,1.3084
2012-02-29,1.3325,1.3325,1.3325,1.3325
2012-03-31,1.3343,1.3343,1.3343,1.3343
2012-04-30,1.3239,1.3239,1.3239,1.3239
2012-05-31,1.2365,1.2365,1.2365,1.2365
2012-06-30,1.2667,1.2667,1.2667,1.2667
2012-07-31,1.2304,1.2304,1.2304,1.2304
2012-08-31,1.2579,1.2579,1.2579,1.2579
2012-09-30,1.286,1.286,1.286,1.286
2012-10-31,1.296,1.296,1.296,1.296
2012-11-30,1.2986,1.2986,1.2986,1.2986
2012-12-31,1.3193,1.3193,1.3193,1.3193
2013-01-31,1.3579,1.3579,1.3579,1.3579
2013-02-28,1.3057,1.3057,1.3057,1.3057
2013-03-31,1.2819,1.2819,1.2819,1.2819
2013-04-30,1.3168,1.3168,1.3168,1.3168
2013-05-31,1.2999,1.2999,1.2999,1.2999
2013-06-30,1.301,1.301,1.301,1.301
2013-07-31,1.3302,1.3302,1.3302,1.3302
2013-08-31,1.3222,1.3222,1.3222,1.3222
2013-09-30,1.3527,1.3527,1.3527,1.3527
2013-10-31,1.3584,1.3584,1.3584,1.3584
2013-11-30,1.3591,1.3591,1.3591,1.3591
2013-12-31,1.3743,1.3743,1.3743,1.3743
2014-01-31,1.3486,1.3486,1.3486,1.3486
2014-02-28,1.3802,1.3802,1.3802,1.3802
2014-03-31,1.3769,1.3769,1.3769,1.3769
2014-04-30,1.3867,1.3867,1.3867,1.3867
2014-05-31,1.3635,1.3635,1.3635,1.3635
2014-06-30,1.3692,1.3692,1.3692,1.3692
2014-07-31,1.339,1.339,1.339,1.339
2014-08-31,1.3132,1.3132,1.3132,1.3132
2014-09-30,1.2631,1.2631,1.2631,1.2631
2014-10-31,1.2525,1.2525,1.2525,1.2525
2014-11-30,1.2452,1.2452,1.2452,1.2452
2014-12-31,1.2098,1.2098,1.2098,1.2098
2015-01-31,1.1291,1.1291,1.1291,1.1291
2015-02-28,1.1196,1.1196,1.1196,1.1196
2015-03-31,1.0731,1.0731,1.0731,1.0731
2015-04-30,1.1224,1.1224,1.1224,1.1224
2015-05-31,1.0986,1.0986,1.0986,1.0986
2015-06-30,1.1147,1.1147,1.1147,1.1147
2015-07-31,1.0984,1.0984,1.0984,1.0984
2015-08-31,1.1211,1.1211,1.1211,1.1211
2015-09-30,1.1177,1.1177,1.1177,1.1177
2015-10-31,1.1006,1.1006,1.1006,1.1006
2015-11-30,1.0565,1.0565,1.0565,1.0565
2015-12-31,1.0862,1.0862,1.0862,1.0862
2016-01-31,1.0831,1.0831,1.0831,1.0831
2016-02-29,1.0873,1.0873,1.0873,1.0873
2016-03-31,1.138,1.138,1.138,1.138
2016-04-30,1.1451,1.1451,1.1451,1.1451
2016-05-31,1.1132,1.1132,1.1132,1.1132
2016-06-30,1.1106,1.1106,1.1106,1.1106
2016-07-31,1.1174,1.1174,1.1174,1.1174
2016-08-31,1.1158,1.1158,1.1158,1.1158
2016-09-30,1.1235,1.1235,1.1235,1.1235
2016-10-31,1.0981,1.0981,1.0981,1.0981
2016-11-30,1.0589,1.0589,1.0589,1.0589
2016-12-31,1.0517,1.0517,1.0517,1.0517
2017-01-31,1.0798,1.0798,1.0798,1.0798
2017-02-28,1.0576,1.0576,1.0576,1.0576
2017-03-31,1.0652,1.0652,1.0652,1.0652
2017-04-30,1.0895,1.0895,1.0895,1.0895
2017-05-31,1.1244,1.1244,1.1244,1.1244
2017-06-30,1.1426,1.1426,1.1426,1.1426
2017-07-31,1.1842,1.1842,1.1842,1.1842
2017-08-31,1.191,1.191,1.191,1.191
2017-09-30,1.1814,1.1814,1.1814,1.1814
2017-10-31,1.1646,1.1646,1.1646,1.1646
2017-11-30,1.1904,1.1904,1.1904,1.1904
2017-12-31,1.2005,1.2005,1.2005,1.2005
2018-01-31,1.2414,1.2414,1.2414,1.2414
2018-02-28,1.2194,1.2194,1.2194,1.2194
2018-03-31,1.2324,1.2324,1.2324,1.2324
2018-04-30,1.2078,1.2078,1.2078,1.2078
2018-05-31,1.1693,1.1693,1.1693,1.1693
2018-06-30,1.1684,1.1684,1.1684,1.1684
2018-07-31,1.1691,1.1691,1.1691,1.1691
2018-08-31,1.1602,1.1602,1.1602,1.1602
2018-09-30,1.1604,1.1604,1.1604,1.1604
2018-10-31,1.1312,1.1312,1.1312,1.1312
2018-11-30,1.1317,1.1317,1.1317,1.1317
2018-12-31,1.1467,1.1467,1.1467,1.1467
2019-01-31,1.1448,1.1448,1.1448,1.1448
2019-02-28,1.1371,1.1371,1.1371,1.1371
2019-03-31,1.1218,1.1218,1.1218,1.1218
2019-04-30,1.1215,1.1215,1.1215,1.1215
2019-05-31,1.1169,1.1169,1.1169,1.1169
2019-06-30,1.1373,1.1373,1.1373,1.1373
2019-07-31,1.1076,1.1076,1.1076,1.1076
2019-08-31,1.0982,1.0982,1.0982,1.0982
2019-09-30,1.0899,1.0899,1.0899,1.0899
2019-10-31,1.1152,1.1152,1.1152,1.1152
2019-11-30,1.1018,1.1018,1.1018,1.1018
2019-12-31,1.1213,1.1213,1.1213,1.1213
2020-01-31,1.1093,1.1093,1.1093,1.1093
2020-02-29,1.1026,1.1026,1.1026,1.1026
2020-03-31,1.1031,1.1031,1.1031,1.1031
2020-04-30,1.0955,1.0955,1.0955,1.0955
2020-05-31,1.1101,1.1101,1.1101,1.1101
2020-06-30,1.1234,1.1234,1.1234,1.1234
2020-07-31,1.1778,1.1778,1.1778,1.1778
2020-08-31,1.1936,1.1936,1.1936,1.1936
2020-09-30,1.1721,1.1721,1.1721,1.1721
2020-10-31,1.1647,1.1647,1.1647,1.1647
2020-11-30,1.1927,1.1927,1.1927,1.1927
2020-12-31,1.2216,1.2216,1.2216,1.2216
2021-01-31,1.2136,1.2136,1.2136,1.2136
2021-02-28,1.2075,1.2075,1.2075,1.2075
2021-03-31,1.173,1.173,1.173,1.173
2021-04-30,1.202,1.202,1.202,1.202
2021-05-31,1.2227,1.2227,1.2227,1.2227
2021-06-30,1.1858,1.1858,1.1858,1.1858
2021-07-31,1.187,1.187,1.187,1.187
2021-08-31,1.1809,1.1809,1.1809,1.1809
2021-09-30,1.158,1.158,1.158,1.158
2021-10-31,1.1558,1.1558,1.1558,1.1558
2021-11-30,1.1338,1.1338,1.1338,1.1338
2021-12-31,1.137,1.137,1.137,1.137
2022-01-31,1.1235,1.1235,1.1235,1.1235
2022-02-28,1.1219,1.1219,1.1219,1.1219
2022-03-31,1.1067,1.1067,1.1067,1.1067
2022-04-30,1.0545,1.0545,1.0545,1.0545
2022-05-31,1.0734,1.0734,1.0734,1.0734
2022-06-30,1.0484,1.0484,1.0484,1.0484
2022-07-31,1.022,1.022,1.022,1.022
2022-08-31,1.0054,1.0054,1.0054,1.0054
2022-09-30,0.9802,0.9802,0.9802,0.9802
2022-10-31,0.9882,0.9882,0.9882,0.9882
2022-11-30,1.0406,1.0406,1.0406,1.0406
2022-12-31,1.0705,1.0705,1.0705,1.0705
2023-01-31,1.0863,1.0863,1.0863,1.0863
2023-02-28,1.0576,1.0576,1.0576,1.0576
